datetime,open,high,low,close,volume
2023-06-01 02:00:00,0.0716,0.0723,0.0708,0.0713,10223885.0
2023-06-02 02:00:00,0.0716,0.0734,0.0709,0.0728,10632685.0
2023-06-03 02:00:00,0.0728,0.0732,0.0722,0.0726,4643376.0
2023-06-04 02:00:00,0.0726,0.0735,0.0723,0.0724,4380670.0
2023-06-05 02:00:00,0.0724,0.0727,0.0636,0.0666,80190153.0
2023-06-06 02:00:00,0.0667,0.0722,0.0659,0.0705,64273341.0
2023-06-07 02:00:00,0.0703,0.0706,0.0666,0.0672,25646957.0
2023-06-08 02:00:00,0.0674,0.0685,0.067,0.0679,11324790.0
2023-06-09 02:00:00,0.0679,0.0713,0.0674,0.0694,33103361.0
2023-06-10 02:00:00,0.0697,0.0712,0.0538,0.0618,184967936.0
2023-06-11 02:00:00,0.0617,0.063,0.0609,0.0615,34099156.0
2023-06-12 02:00:00,0.0615,0.062,0.0599,0.0617,18275032.0
2023-06-13 02:00:00,0.0614,0.0626,0.0605,0.0617,16158892.0
2023-06-14 02:00:00,0.062,0.0623,0.0583,0.0603,25786674.0
2023-06-15 02:00:00,0.0605,0.0622,0.0596,0.0617,31706832.0
2023-06-16 02:00:00,0.0613,0.0628,0.0606,0.0622,20890996.0
2023-06-17 02:00:00,0.0622,0.0631,0.0616,0.062,8376527.0
2023-06-18 02:00:00,0.0621,0.0639,0.0613,0.0619,33169455.0
2023-06-19 02:00:00,0.0621,0.0628,0.0615,0.0622,12566218.0
2023-06-20 02:00:00,0.0625,0.0633,0.0606,0.0631,19137050.0
2023-06-21 02:00:00,0.0631,0.0667,0.0628,0.0654,38585962.0
2023-06-22 02:00:00,0.0657,0.0694,0.0652,0.0658,46277024.0
2023-06-23 02:00:00,0.0658,0.0704,0.0653,0.068,49758758.0
2023-06-24 02:00:00,0.0681,0.0686,0.0651,0.0666,28311684.0
2023-06-25 02:00:00,0.0666,0.0683,0.0663,0.0664,11109213.0
2023-06-26 02:00:00,0.0667,0.0671,0.0633,0.0648,29101571.0
2023-06-27 02:00:00,0.0648,0.0659,0.0642,0.0654,10794856.0
2023-06-28 02:00:00,0.0657,0.0657,0.0604,0.0626,31887823.0
2023-06-29 02:00:00,0.0626,0.0642,0.0623,0.0633,11249591.0
