datetime,open,high,low,close,volume
2025-05-01 02:00:00,0.1724,0.1837,0.1724,0.1805,24028034.0
2025-05-02 02:00:00,0.1807,0.1848,0.1785,0.1811,13968167.0
2025-05-03 02:00:00,0.1812,0.1821,0.1748,0.1755,12106535.0
2025-05-04 02:00:00,0.1766,0.1781,0.1698,0.1709,13483555.0
2025-05-05 02:00:00,0.1708,0.175,0.1682,0.1707,19400278.0
2025-05-06 02:00:00,0.1705,0.1725,0.1641,0.1724,24456954.0
2025-05-07 02:00:00,0.1718,0.1746,0.1687,0.1731,14715854.0
2025-05-08 02:00:00,0.1729,0.1982,0.1716,0.1972,33467458.0
2025-05-09 02:00:00,0.1971,0.214,0.1925,0.2049,70366839.0
2025-05-10 02:00:00,0.2049,0.2515,0.2036,0.2505,89669277.0
2025-05-11 02:00:00,0.2502,0.2599,0.2223,0.2311,86882609.0
2025-05-12 02:00:00,0.2311,0.2535,0.2207,0.2304,127821281.0
2025-05-13 02:00:00,0.2299,0.2425,0.2177,0.2418,74634759.0
2025-05-14 02:00:00,0.2414,0.2474,0.2279,0.233,35068458.0
2025-05-15 02:00:00,0.233,0.2375,0.2138,0.2189,54341248.0
2025-05-16 02:00:00,0.2189,0.2307,0.2174,0.2214,29677568.0
2025-05-17 02:00:00,0.2204,0.2225,0.2107,0.2146,32643509.0
2025-05-18 02:00:00,0.2146,0.2384,0.2138,0.2332,50152916.0
2025-05-19 02:00:00,0.2334,0.2356,0.2137,0.2249,27193482.0
2025-05-20 02:00:00,0.225,0.2316,0.2178,0.2265,33460694.0
2025-05-21 02:00:00,0.2265,0.2379,0.2223,0.2336,40411579.0
2025-05-22 02:00:00,0.235,0.2463,0.235,0.2446,35844358.0
2025-05-23 02:00:00,0.2456,0.2548,0.2225,0.2253,62256794.0
2025-05-24 02:00:00,0.225,0.2311,0.2232,0.2252,15822892.0
2025-05-25 02:00:00,0.2252,0.2266,0.2147,0.2254,17356734.0
2025-05-26 02:00:00,0.2256,0.2302,0.2224,0.225,10057846.0
2025-05-27 02:00:00,0.2254,0.2325,0.2197,0.2266,19061451.0
2025-05-28 02:00:00,0.2254,0.2284,0.2173,0.2213,10821194.0
2025-05-29 02:00:00,0.221,0.2288,0.2141,0.2143,41978122.0
2025-05-30 02:00:00,0.2144,0.2162,0.1909,0.1935,49285025.0
