datetime,open,high,low,close,volume
2024-01-01 01:00:00,0.0897,0.0923,0.0884,0.0923,21181826.0
2024-01-02 01:00:00,0.0919,0.0948,0.0904,0.0909,31073028.0
2024-01-03 01:00:00,0.0914,0.0924,0.0761,0.0822,124681119.0
2024-01-04 01:00:00,0.0823,0.085,0.0811,0.084,27478396.0
2024-01-05 01:00:00,0.0845,0.085,0.0803,0.0826,41786112.0
2024-01-06 01:00:00,0.083,0.0832,0.0783,0.0804,16949947.0
2024-01-07 01:00:00,0.081,0.0819,0.077,0.0782,19725274.0
2024-01-08 01:00:00,0.0782,0.082,0.074,0.0817,39770831.0
2024-01-09 01:00:00,0.0813,0.0841,0.0765,0.0793,181393793.0
2024-01-10 01:00:00,0.0793,0.085,0.0763,0.0831,37924468.0
2024-01-11 01:00:00,0.0829,0.0881,0.0818,0.0849,49386000.0
2024-01-12 01:00:00,0.0848,0.0857,0.0775,0.08,35515270.0
2024-01-13 01:00:00,0.0801,0.0817,0.0783,0.0805,34107255.0
2024-01-14 01:00:00,0.081,0.0843,0.0795,0.0803,34208859.0
2024-01-15 01:00:00,0.0801,0.0819,0.0797,0.0814,14618585.0
2024-01-16 01:00:00,0.0808,0.0825,0.0795,0.0816,28199072.0
2024-01-17 01:00:00,0.0816,0.0819,0.0794,0.0803,18298761.0
2024-01-18 01:00:00,0.0808,0.0811,0.0771,0.078,17604448.0
2024-01-19 01:00:00,0.078,0.0791,0.0746,0.0787,13137822.0
2024-01-20 01:00:00,0.0787,0.0905,0.078,0.0876,108982219.0
2024-01-21 01:00:00,0.088,0.0905,0.0845,0.0857,86085368.0
2024-01-22 01:00:00,0.0857,0.0858,0.0799,0.0803,48160313.0
2024-01-23 01:00:00,0.0803,0.082,0.0759,0.0781,33157952.0
2024-01-24 01:00:00,0.0781,0.0809,0.0776,0.0794,28570456.0
2024-01-25 01:00:00,0.0793,0.0795,0.0769,0.0779,9336111.0
2024-01-26 01:00:00,0.0779,0.0806,0.0773,0.0796,41215267.0
2024-01-27 01:00:00,0.0798,0.081,0.0787,0.08,12038819.0
2024-01-28 01:00:00,0.0805,0.0816,0.078,0.079,6706199.0
2024-01-29 01:00:00,0.079,0.0833,0.0781,0.0814,51035084.0
2024-01-30 01:00:00,0.0814,0.0824,0.0791,0.0799,26299435.0
2024-01-31 01:00:00,0.08,0.0805,0.0778,0.0787,12467093.0
