datetime,open,high,low,close,volume
2024-05-01 02:00:00,0.1337,0.1338,0.1198,0.13,131155787.0
2024-05-02 02:00:00,0.1306,0.1349,0.1237,0.1319,70075549.0
2024-05-03 02:00:00,0.1318,0.1478,0.1308,0.1466,43126298.0
2024-05-04 02:00:00,0.1465,0.1705,0.1459,0.1598,235393952.0
2024-05-05 02:00:00,0.1606,0.1637,0.1544,0.1615,46270080.0
2024-05-06 02:00:00,0.1615,0.1695,0.1538,0.1561,64632674.0
2024-05-07 02:00:00,0.1567,0.1602,0.1492,0.1497,49825454.0
2024-05-08 02:00:00,0.1503,0.1524,0.1418,0.1432,66261991.0
2024-05-09 02:00:00,0.1432,0.1547,0.1429,0.1521,33621791.0
2024-05-10 02:00:00,0.1527,0.1542,0.1424,0.1435,36298686.0
2024-05-11 02:00:00,0.1441,0.1465,0.1423,0.143,17124218.0
2024-05-12 02:00:00,0.1436,0.1447,0.1393,0.1415,27272168.0
2024-05-13 02:00:00,0.1415,0.1573,0.1357,0.1486,131738209.0
2024-05-14 02:00:00,0.1485,0.1555,0.1441,0.1459,58635615.0
2024-05-15 02:00:00,0.1459,0.1576,0.1447,0.1557,50993471.0
2024-05-16 02:00:00,0.1558,0.1593,0.1485,0.1494,35561094.0
2024-05-17 02:00:00,0.1495,0.1572,0.1491,0.1556,24862577.0
2024-05-18 02:00:00,0.1554,0.1575,0.1511,0.1526,18530120.0
2024-05-19 02:00:00,0.1534,0.1565,0.1472,0.1485,24224713.0
2024-05-20 02:00:00,0.1491,0.1665,0.1475,0.1657,62808490.0
2024-05-21 02:00:00,0.1651,0.1735,0.1601,0.1697,87879890.0
2024-05-22 02:00:00,0.1705,0.175,0.1613,0.166,75953656.0
2024-05-23 02:00:00,0.166,0.1694,0.1524,0.1604,86690255.0
2024-05-24 02:00:00,0.1596,0.1734,0.1551,0.1639,221266416.0
2024-05-25 02:00:00,0.1639,0.1746,0.1624,0.1739,51199271.0
2024-05-26 02:00:00,0.174,0.1753,0.1652,0.1658,83568072.0
2024-05-27 02:00:00,0.1658,0.1735,0.1641,0.1687,53452019.0
2024-05-28 02:00:00,0.1693,0.1696,0.1613,0.1653,49907862.0
2024-05-29 02:00:00,0.1648,0.1708,0.1619,0.1636,62558946.0
2024-05-30 02:00:00,0.1636,0.1661,0.1559,0.16,65507227.0
