datetime,open,high,low,close,volume
2025-03-01 01:00:00,0.2025,0.2097,0.1989,0.2067,27495107.0
2025-03-02 01:00:00,0.2066,0.2427,0.2018,0.2396,102896390.0
2025-03-03 01:00:00,0.2398,0.2408,0.1931,0.1992,61591215.0
2025-03-04 01:00:00,0.1988,0.2019,0.1832,0.199,47839544.0
2025-03-05 01:00:00,0.1989,0.2069,0.1966,0.2049,24117094.0
2025-03-06 01:00:00,0.205,0.2203,0.1991,0.2015,31098321.0
2025-03-07 01:00:00,0.2015,0.2087,0.1907,0.1978,30506684.0
2025-03-08 01:00:00,0.1978,0.2011,0.1908,0.1924,20874725.0
2025-03-09 01:00:00,0.1932,0.1946,0.1656,0.1677,63146951.0
2025-03-10 01:00:00,0.1682,0.1808,0.1505,0.1541,90051981.0
2025-03-11 01:00:00,0.1545,0.1691,0.1432,0.1641,80739620.0
2025-03-12 01:00:00,0.1644,0.1744,0.1595,0.1733,41151187.0
2025-03-13 01:00:00,0.1733,0.1733,0.1615,0.1647,25661574.0
2025-03-14 01:00:00,0.1645,0.1761,0.1644,0.1715,12168398.0
2025-03-15 01:00:00,0.1724,0.1783,0.1709,0.1755,11161537.0
2025-03-16 01:00:00,0.1764,0.1772,0.166,0.1677,17662729.0
2025-03-17 01:00:00,0.1686,0.1768,0.1686,0.1733,12597322.0
2025-03-18 01:00:00,0.1732,0.1739,0.1627,0.168,16907744.0
2025-03-19 01:00:00,0.1678,0.1789,0.1669,0.1773,14244791.0
2025-03-20 01:00:00,0.1783,0.18,0.1667,0.1694,13033088.0
2025-03-21 01:00:00,0.1693,0.1721,0.1644,0.1665,12095845.0
2025-03-22 01:00:00,0.1674,0.1703,0.1666,0.1666,4445793.0
2025-03-23 01:00:00,0.1677,0.1731,0.167,0.1717,6635116.0
2025-03-24 01:00:00,0.172,0.1891,0.1704,0.1825,34532763.0
2025-03-25 01:00:00,0.1828,0.1941,0.1815,0.1917,63942165.0
2025-03-26 01:00:00,0.1907,0.2061,0.19,0.1948,125034410.0
2025-03-27 01:00:00,0.1949,0.2007,0.1876,0.191,30520697.0
2025-03-28 01:00:00,0.1901,0.1934,0.1768,0.1806,54326958.0
2025-03-29 01:00:00,0.1806,0.1818,0.166,0.1692,62232735.0
2025-03-30 01:00:00,0.1694,0.1727,0.1645,0.1673,18872986.0
