datetime,open,high,low,close,volume
2023-02-01 01:00:00,0.096,0.0973,0.0882,0.0942,114078515.0
2023-02-02 01:00:00,0.094,0.0962,0.0903,0.0909,67751099.0
2023-02-03 01:00:00,0.0911,0.0934,0.0902,0.0928,48072445.0
2023-02-04 01:00:00,0.093,0.1,0.0924,0.0959,113561682.0
2023-02-05 01:00:00,0.0959,0.0972,0.0905,0.092,79251784.0
2023-02-06 01:00:00,0.0922,0.0935,0.0886,0.0897,52202193.0
2023-02-07 01:00:00,0.0894,0.0929,0.0894,0.0925,37602684.0
2023-02-08 01:00:00,0.0926,0.0935,0.0885,0.09,35291675.0
2023-02-09 01:00:00,0.0901,0.091,0.0788,0.0813,116016963.0
2023-02-10 01:00:00,0.0815,0.0831,0.0793,0.0809,72689597.0
2023-02-11 01:00:00,0.0809,0.0827,0.0807,0.0822,24206275.0
2023-02-12 01:00:00,0.0824,0.0857,0.0812,0.0821,57546481.0
2023-02-13 01:00:00,0.0821,0.0865,0.0795,0.0821,90023523.0
2023-02-14 01:00:00,0.0821,0.0838,0.0801,0.0835,43872697.0
2023-02-15 01:00:00,0.0835,0.0896,0.0825,0.0893,154616381.0
2023-02-16 01:00:00,0.0896,0.0919,0.0845,0.0849,74482750.0
2023-02-17 01:00:00,0.0848,0.0886,0.0845,0.0877,47319676.0
2023-02-18 01:00:00,0.0877,0.0905,0.0866,0.0887,48816290.0
2023-02-19 01:00:00,0.0887,0.0901,0.0859,0.087,49791794.0
2023-02-20 01:00:00,0.0872,0.0889,0.0852,0.0884,41173208.0
2023-02-21 01:00:00,0.0882,0.0889,0.0846,0.0853,44623245.0
2023-02-22 01:00:00,0.0853,0.0886,0.0829,0.0854,114300092.0
2023-02-23 01:00:00,0.0854,0.0866,0.0835,0.0843,29074772.0
2023-02-24 01:00:00,0.084,0.0851,0.0791,0.0809,37480000.0
2023-02-25 01:00:00,0.0807,0.0823,0.0782,0.0809,24862747.0
2023-02-26 01:00:00,0.0808,0.0828,0.0804,0.082,25820616.0
2023-02-27 01:00:00,0.0822,0.0823,0.0799,0.0813,21743391.0
2023-02-28 01:00:00,0.0813,0.0832,0.0798,0.0807,25344113.0
