datetime,open,high,low,close,volume
2022-07-01 02:00:00,0.066,0.0686,0.0637,0.0661,63283875.0
2022-07-02 02:00:00,0.0665,0.0679,0.0655,0.0667,65609799.0
2022-07-03 02:00:00,0.0665,0.0675,0.0646,0.0671,38572338.0
2022-07-04 02:00:00,0.0671,0.0696,0.0656,0.0691,56639551.0
2022-07-05 02:00:00,0.0693,0.07,0.0655,0.0671,41898567.0
2022-07-06 02:00:00,0.0671,0.0691,0.0661,0.0684,48680778.0
2022-07-07 02:00:00,0.0684,0.0713,0.0677,0.0705,56600511.0
2022-07-08 02:00:00,0.0706,0.0735,0.0681,0.0689,51560391.0
2022-07-09 02:00:00,0.0689,0.0703,0.0688,0.0693,20801303.0
2022-07-10 02:00:00,0.0693,0.0695,0.0662,0.0671,26171800.0
2022-07-11 02:00:00,0.0669,0.0671,0.061,0.0616,24317899.0
2022-07-12 02:00:00,0.0616,0.0632,0.0597,0.0598,26283871.0
2022-07-13 02:00:00,0.0597,0.0623,0.0576,0.0619,53385321.0
2022-07-14 02:00:00,0.0618,0.0628,0.0594,0.0623,28626369.0
2022-07-15 02:00:00,0.0623,0.0645,0.0615,0.0631,47196051.0
2022-07-16 02:00:00,0.063,0.065,0.0616,0.0644,24623780.0
2022-07-17 02:00:00,0.0644,0.0656,0.0629,0.0629,26034756.0
2022-07-18 02:00:00,0.063,0.069,0.063,0.0675,93321657.0
2022-07-19 02:00:00,0.0676,0.0702,0.0653,0.069,82234772.0
2022-07-20 02:00:00,0.0691,0.0771,0.0677,0.0701,133744859.0
2022-07-21 02:00:00,0.0704,0.071,0.067,0.0699,47571285.0
2022-07-22 02:00:00,0.0699,0.0716,0.0668,0.0677,42567461.0
2022-07-23 02:00:00,0.0674,0.0696,0.0659,0.068,34265017.0
2022-07-24 02:00:00,0.0682,0.0691,0.0672,0.0675,19393741.0
2022-07-25 02:00:00,0.0675,0.068,0.0617,0.062,47942462.0
2022-07-26 02:00:00,0.0618,0.0626,0.0601,0.0626,39198981.0
2022-07-27 02:00:00,0.0628,0.0671,0.0617,0.067,46020881.0
2022-07-28 02:00:00,0.0672,0.071,0.0653,0.0692,55695480.0
2022-07-29 02:00:00,0.0692,0.0722,0.0671,0.0688,68322701.0
2022-07-30 02:00:00,0.069,0.0746,0.0681,0.0698,86031001.0
