datetime,open,high,low,close,volume
2024-07-01 02:00:00,0.1248,0.1277,0.1227,0.1233,10873761.0
2024-07-02 02:00:00,0.1239,0.1254,0.1223,0.1254,13480065.0
2024-07-03 02:00:00,0.1254,0.1257,0.1165,0.118,18750035.0
2024-07-04 02:00:00,0.1186,0.1193,0.1031,0.105,58178184.0
2024-07-05 02:00:00,0.1052,0.1069,0.0926,0.1054,126768752.0
2024-07-06 02:00:00,0.1054,0.1144,0.1047,0.1136,39866483.0
2024-07-07 02:00:00,0.113,0.1136,0.1038,0.1046,29629149.0
2024-07-08 02:00:00,0.1046,0.1112,0.0986,0.1077,41395354.0
2024-07-09 02:00:00,0.1078,0.1096,0.1058,0.1079,8150929.0
2024-07-10 02:00:00,0.108,0.1109,0.106,0.108,9136918.0
2024-07-11 02:00:00,0.1085,0.1122,0.106,0.1067,7717872.0
2024-07-12 02:00:00,0.1068,0.1087,0.1048,0.1078,11772802.0
2024-07-13 02:00:00,0.1078,0.1132,0.107,0.1126,19168516.0
2024-07-14 02:00:00,0.1127,0.1175,0.1108,0.1161,9709351.0
2024-07-15 02:00:00,0.1156,0.1259,0.1142,0.1251,31460524.0
2024-07-16 02:00:00,0.1251,0.128,0.1187,0.1252,30216171.0
2024-07-17 02:00:00,0.125,0.1274,0.1204,0.1218,14447928.0
2024-07-18 02:00:00,0.1219,0.1241,0.1172,0.119,21313982.0
2024-07-19 02:00:00,0.1197,0.1265,0.1174,0.1255,15670267.0
2024-07-20 02:00:00,0.1255,0.1363,0.1243,0.1337,47374438.0
2024-07-21 02:00:00,0.1344,0.1438,0.1259,0.1405,61747621.0
2024-07-22 02:00:00,0.1406,0.1428,0.1358,0.1379,43680496.0
2024-07-23 02:00:00,0.1379,0.1394,0.1284,0.13,40233730.0
2024-07-24 02:00:00,0.1306,0.1352,0.1267,0.1282,33101475.0
2024-07-25 02:00:00,0.1283,0.1292,0.12,0.1249,34900426.0
2024-07-26 02:00:00,0.1258,0.1356,0.1257,0.1339,18660866.0
2024-07-27 02:00:00,0.1339,0.1388,0.1311,0.1311,58781336.0
2024-07-28 02:00:00,0.1309,0.1321,0.1278,0.1297,13695521.0
2024-07-29 02:00:00,0.1305,0.1356,0.1274,0.1284,21885510.0
2024-07-30 02:00:00,0.129,0.1306,0.1236,0.1259,19320088.0
