datetime,open,high,low,close,volume
2025-02-01 01:00:00,0.3285,0.3329,0.3031,0.308,41557725.0
2025-02-02 01:00:00,0.3079,0.3155,0.2509,0.2676,264683986.0
2025-02-03 01:00:00,0.2676,0.2931,0.2038,0.286,725117404.0
2025-02-04 01:00:00,0.2853,0.2891,0.2549,0.2643,145344161.0
2025-02-05 01:00:00,0.2633,0.2693,0.253,0.256,55084513.0
2025-02-06 01:00:00,0.2571,0.2658,0.2431,0.2483,65720146.0
2025-02-07 01:00:00,0.2474,0.2617,0.2384,0.2471,49482878.0
2025-02-08 01:00:00,0.2459,0.2543,0.2444,0.2529,20398755.0
2025-02-09 01:00:00,0.2529,0.2606,0.2391,0.249,38446526.0
2025-02-10 01:00:00,0.2491,0.2565,0.241,0.2553,34119377.0
2025-02-11 01:00:00,0.2554,0.2699,0.2478,0.2529,34740924.0
2025-02-12 01:00:00,0.2528,0.2678,0.2469,0.2634,53385809.0
2025-02-13 01:00:00,0.2641,0.2678,0.2529,0.263,64865527.0
2025-02-14 01:00:00,0.2631,0.2874,0.2606,0.271,50756455.0
2025-02-15 01:00:00,0.271,0.2838,0.268,0.2713,37804375.0
2025-02-16 01:00:00,0.2713,0.2746,0.2633,0.2654,31628648.0
2025-02-17 01:00:00,0.2662,0.2691,0.2535,0.2587,34627267.0
2025-02-18 01:00:00,0.2588,0.2591,0.2416,0.2504,39111133.0
2025-02-19 01:00:00,0.2505,0.2557,0.2484,0.2543,21018930.0
2025-02-20 01:00:00,0.2552,0.2579,0.2501,0.2548,20359430.0
2025-02-21 01:00:00,0.255,0.2615,0.234,0.2395,30596488.0
2025-02-22 01:00:00,0.2395,0.2486,0.238,0.2464,11077231.0
2025-02-23 01:00:00,0.2472,0.2479,0.2398,0.2427,9559135.0
2025-02-24 01:00:00,0.2428,0.2442,0.2062,0.2108,98727922.0
2025-02-25 01:00:00,0.2112,0.2151,0.1952,0.2121,97704489.0
2025-02-26 01:00:00,0.2117,0.2144,0.196,0.2032,37330490.0
2025-02-27 01:00:00,0.2041,0.2119,0.2006,0.2069,21917206.0
2025-02-28 01:00:00,0.2068,0.2071,0.1813,0.2021,60745744.0
