datetime,open,high,low,close,volume
2024-03-01 01:00:00,0.1175,0.1457,0.1168,0.1392,321904893.0
2024-03-02 01:00:00,0.1392,0.1509,0.1357,0.142,333081024.0
2024-03-03 01:00:00,0.142,0.1567,0.1238,0.1541,410652596.0
2024-03-04 01:00:00,0.1535,0.1857,0.1461,0.1816,651683175.0
2024-03-05 01:00:00,0.1821,0.2067,0.1284,0.1537,856965403.0
2024-03-06 01:00:00,0.1533,0.1798,0.1464,0.1573,291472521.0
2024-03-07 01:00:00,0.158,0.1626,0.1466,0.1572,164474136.0
2024-03-08 01:00:00,0.1578,0.1759,0.1551,0.1644,245354027.0
2024-03-09 01:00:00,0.1652,0.1851,0.1634,0.1792,215763573.0
2024-03-10 01:00:00,0.1793,0.18,0.1652,0.1698,92257269.0
2024-03-11 01:00:00,0.1704,0.1833,0.1606,0.1817,125658642.0
2024-03-12 01:00:00,0.1825,0.1835,0.1557,0.1678,114010408.0
2024-03-13 01:00:00,0.1678,0.1744,0.165,0.1696,81345485.0
2024-03-14 01:00:00,0.1695,0.1929,0.1648,0.177,382726424.0
2024-03-15 01:00:00,0.1779,0.1814,0.152,0.164,196417676.0
2024-03-16 01:00:00,0.164,0.1653,0.1379,0.1423,152714213.0
2024-03-17 01:00:00,0.1428,0.1591,0.1363,0.1545,133919396.0
2024-03-18 01:00:00,0.1545,0.1545,0.1397,0.1433,102501807.0
2024-03-19 01:00:00,0.144,0.1453,0.125,0.1288,195397065.0
2024-03-20 01:00:00,0.1283,0.1535,0.1226,0.1527,268645192.0
2024-03-21 01:00:00,0.152,0.1597,0.1462,0.1553,164568637.0
2024-03-22 01:00:00,0.1553,0.1652,0.1452,0.1532,186279027.0
2024-03-23 01:00:00,0.1529,0.1753,0.1515,0.162,319529728.0
2024-03-24 01:00:00,0.162,0.1802,0.1613,0.1768,241181103.0
2024-03-25 01:00:00,0.177,0.1867,0.1697,0.1747,138540218.0
2024-03-26 01:00:00,0.1755,0.1869,0.1742,0.182,192547313.0
2024-03-27 01:00:00,0.1827,0.1921,0.1786,0.1903,351852983.0
2024-03-28 01:00:00,0.1902,0.229,0.1887,0.2201,638697052.0
2024-03-29 01:00:00,0.2201,0.225,0.2075,0.2132,240568689.0
2024-03-30 01:00:00,0.2133,0.217,0.1967,0.1992,183881218.0
