datetime,open,high,low,close,volume
2022-11-01 01:00:00,0.1268,0.1589,0.1246,0.1419,645611670.0
2022-11-02 01:00:00,0.1419,0.1479,0.1219,0.1278,524046800.0
2022-11-03 01:00:00,0.1278,0.137,0.1201,0.1227,268532644.0
2022-11-04 01:00:00,0.1227,0.1292,0.1155,0.1261,309458577.0
2022-11-05 01:00:00,0.1261,0.1359,0.1203,0.1244,170929520.0
2022-11-06 01:00:00,0.1244,0.1277,0.1118,0.1148,140229467.0
2022-11-07 01:00:00,0.1148,0.1191,0.1077,0.1111,128717346.0
2022-11-08 01:00:00,0.1112,0.1125,0.0782,0.0883,604485422.0
2022-11-09 01:00:00,0.0883,0.0921,0.0709,0.0745,461819835.0
2022-11-10 01:00:00,0.0742,0.0939,0.0729,0.0895,389346772.0
2022-11-11 01:00:00,0.0896,0.0932,0.0797,0.0848,222956365.0
2022-11-12 01:00:00,0.0846,0.0948,0.0783,0.0879,298201646.0
2022-11-13 01:00:00,0.0881,0.0914,0.083,0.0848,141113576.0
2022-11-14 01:00:00,0.0847,0.0912,0.0792,0.0858,173090258.0
2022-11-15 01:00:00,0.0857,0.0895,0.0847,0.0871,69299272.0
2022-11-16 01:00:00,0.0869,0.0911,0.0832,0.0856,91918933.0
2022-11-17 01:00:00,0.0856,0.0871,0.0823,0.0847,61674132.0
2022-11-18 01:00:00,0.0847,0.0869,0.0836,0.0846,51767195.0
2022-11-19 01:00:00,0.0847,0.085,0.0829,0.0846,28246393.0
2022-11-20 01:00:00,0.0844,0.0857,0.0764,0.0769,82489493.0
2022-11-21 01:00:00,0.0769,0.0772,0.0714,0.0745,172334744.0
2022-11-22 01:00:00,0.0745,0.0794,0.0729,0.0785,95878608.0
2022-11-23 01:00:00,0.0788,0.0835,0.0777,0.0818,61562692.0
2022-11-24 01:00:00,0.082,0.0842,0.0804,0.0814,56027672.0
2022-11-25 01:00:00,0.0814,0.0916,0.0805,0.0893,209564788.0
2022-11-26 01:00:00,0.0893,0.0955,0.0871,0.089,173955871.0
2022-11-27 01:00:00,0.0889,0.1079,0.0887,0.0985,412008623.0
2022-11-28 01:00:00,0.0987,0.0996,0.0907,0.095,270767619.0
2022-11-29 01:00:00,0.0949,0.1053,0.0936,0.1014,247282624.0
2022-11-30 01:00:00,0.1014,0.1101,0.0997,0.1066,227401640.0
