datetime,open,high,low,close,volume
2022-02-01 01:00:00,0.1415,0.1447,0.1406,0.1425,36265692.0
2022-02-02 01:00:00,0.1421,0.1465,0.1363,0.137,45184675.0
2022-02-03 01:00:00,0.1374,0.1391,0.1346,0.1381,32086223.0
2022-02-04 01:00:00,0.1375,0.1481,0.1369,0.1477,56443037.0
2022-02-05 01:00:00,0.1475,0.1509,0.1447,0.1472,37457054.0
2022-02-06 01:00:00,0.1467,0.156,0.1448,0.154,75417222.0
2022-02-07 01:00:00,0.154,0.173,0.1512,0.1654,158947560.0
2022-02-08 01:00:00,0.166,0.1698,0.154,0.1583,98503447.0
2022-02-09 01:00:00,0.1585,0.1625,0.1541,0.1595,52293177.0
2022-02-10 01:00:00,0.1599,0.1612,0.1504,0.1525,51740604.0
2022-02-11 01:00:00,0.1519,0.155,0.144,0.1465,45511221.0
2022-02-12 01:00:00,0.1465,0.1486,0.1425,0.144,37981794.0
2022-02-13 01:00:00,0.144,0.1582,0.1435,0.1481,129249253.0
2022-02-14 01:00:00,0.1482,0.1506,0.1428,0.1459,67881748.0
2022-02-15 01:00:00,0.1456,0.1529,0.1447,0.152,49867495.0
2022-02-16 01:00:00,0.1517,0.1517,0.1461,0.1488,26048302.0
2022-02-17 01:00:00,0.1488,0.1504,0.137,0.1383,45514712.0
2022-02-18 01:00:00,0.1383,0.1425,0.136,0.1384,24735177.0
2022-02-19 01:00:00,0.1384,0.1468,0.1383,0.1412,51525991.0
2022-02-20 01:00:00,0.1407,0.1413,0.1352,0.1363,34086440.0
2022-02-21 01:00:00,0.1368,0.142,0.127,0.1281,57955283.0
2022-02-22 01:00:00,0.1283,0.1322,0.1242,0.1312,45188166.0
2022-02-23 01:00:00,0.1317,0.1359,0.1271,0.1274,36869271.0
2022-02-24 01:00:00,0.127,0.1279,0.1067,0.1243,190349120.0
2022-02-25 01:00:00,0.124,0.1285,0.1206,0.1275,50413780.0
2022-02-26 01:00:00,0.1275,0.1306,0.1257,0.1276,41727996.0
2022-02-27 01:00:00,0.1276,0.1287,0.1212,0.1229,36498442.0
2022-02-28 01:00:00,0.1229,0.1353,0.1214,0.1335,57369227.0
