datetime,open,high,low,close,volume
2024-04-01 02:00:00,0.2194,0.2201,0.1969,0.2049,320279327.0
2024-04-02 02:00:00,0.2049,0.2056,0.1796,0.1826,279043601.0
2024-04-03 02:00:00,0.1827,0.1879,0.1698,0.1755,226714114.0
2024-04-04 02:00:00,0.1755,0.1886,0.1716,0.1802,103710876.0
2024-04-05 02:00:00,0.1793,0.1809,0.1674,0.1771,96092947.0
2024-04-06 02:00:00,0.1771,0.1878,0.1763,0.186,68384500.0
2024-04-07 02:00:00,0.1862,0.2052,0.1854,0.1984,122885659.0
2024-04-08 02:00:00,0.199,0.2094,0.1952,0.2027,102250583.0
2024-04-09 02:00:00,0.2027,0.2036,0.1855,0.1887,79748184.0
2024-04-10 02:00:00,0.1894,0.2023,0.1799,0.1999,157267896.0
2024-04-11 02:00:00,0.1998,0.2039,0.1894,0.194,195423748.0
2024-04-12 02:00:00,0.1933,0.202,0.1607,0.1739,267748481.0
2024-04-13 02:00:00,0.1737,0.1759,0.1306,0.153,360655101.0
2024-04-14 02:00:00,0.153,0.1656,0.1444,0.1624,222241462.0
2024-04-15 02:00:00,0.1621,0.1695,0.1501,0.1612,242496997.0
2024-04-16 02:00:00,0.1609,0.1624,0.1464,0.1556,121028178.0
2024-04-17 02:00:00,0.1558,0.1592,0.1441,0.1477,86453190.0
2024-04-18 02:00:00,0.1477,0.154,0.1408,0.1524,104964394.0
2024-04-19 02:00:00,0.1523,0.1575,0.1391,0.1564,84693662.0
2024-04-20 02:00:00,0.1565,0.1658,0.1502,0.1625,108935954.0
2024-04-21 02:00:00,0.1624,0.1662,0.1549,0.1586,74975310.0
2024-04-22 02:00:00,0.1579,0.1638,0.1565,0.1611,69766221.0
2024-04-23 02:00:00,0.1611,0.1637,0.1565,0.1601,38230534.0
2024-04-24 02:00:00,0.1602,0.1646,0.1494,0.1511,82777822.0
2024-04-25 02:00:00,0.1509,0.1544,0.1472,0.1517,38991981.0
2024-04-26 02:00:00,0.1516,0.1524,0.1466,0.148,29633067.0
2024-04-27 02:00:00,0.1486,0.1499,0.1426,0.1479,34517081.0
2024-04-28 02:00:00,0.148,0.1515,0.1461,0.1465,23306898.0
2024-04-29 02:00:00,0.1463,0.1481,0.1395,0.1436,46844828.0
