datetime,open,high,low,close,volume
2024-11-01 01:00:00,0.1615,0.1691,0.154,0.1592,67779784.0
2024-11-02 01:00:00,0.1592,0.1642,0.1549,0.1601,59949291.0
2024-11-03 01:00:00,0.1602,0.1602,0.1419,0.1513,100845541.0
2024-11-04 01:00:00,0.1512,0.1607,0.1477,0.158,102257388.0
2024-11-05 01:00:00,0.1587,0.1794,0.158,0.17,170928752.0
2024-11-06 01:00:00,0.1701,0.2178,0.1688,0.1966,613618844.0
2024-11-07 01:00:00,0.1967,0.2045,0.1853,0.1928,98492689.0
2024-11-08 01:00:00,0.1937,0.2075,0.1906,0.2021,138710467.0
2024-11-09 01:00:00,0.202,0.2207,0.1969,0.2186,201965619.0
2024-11-10 01:00:00,0.2194,0.2984,0.2164,0.2774,806037561.0
2024-11-11 01:00:00,0.2781,0.3522,0.273,0.3522,656431135.0
2024-11-12 01:00:00,0.3519,0.4397,0.3276,0.3803,1224297757.0
2024-11-13 01:00:00,0.3801,0.4343,0.3515,0.3991,799509303.0
2024-11-14 01:00:00,0.4002,0.4165,0.3526,0.3633,294614703.0
2024-11-15 01:00:00,0.3625,0.3853,0.353,0.3815,277236467.0
2024-11-16 01:00:00,0.3827,0.392,0.36,0.3642,104741771.0
2024-11-17 01:00:00,0.3644,0.3756,0.3395,0.3666,110697889.0
2024-11-18 01:00:00,0.3665,0.3811,0.3578,0.3711,156832070.0
2024-11-19 01:00:00,0.3711,0.4209,0.3667,0.3917,303045464.0
2024-11-20 01:00:00,0.3918,0.3972,0.3649,0.3783,176274591.0
2024-11-21 01:00:00,0.3774,0.3957,0.3691,0.3868,253625554.0
2024-11-22 01:00:00,0.387,0.4206,0.3809,0.4135,435287827.0
2024-11-23 01:00:00,0.4135,0.4804,0.404,0.4299,611951716.0
2024-11-24 01:00:00,0.4298,0.4537,0.3996,0.4301,209437271.0
2024-11-25 01:00:00,0.4311,0.4381,0.3808,0.3927,182581710.0
2024-11-26 01:00:00,0.3924,0.4095,0.3651,0.3872,172779583.0
2024-11-27 01:00:00,0.3875,0.4088,0.3806,0.4011,116769577.0
2024-11-28 01:00:00,0.401,0.4292,0.3913,0.4019,104600905.0
2024-11-29 01:00:00,0.402,0.4377,0.3992,0.4271,138406310.0
2024-11-30 01:00:00,0.4271,0.4363,0.4142,0.4215,93343486.0
