datetime,open,high,low,close,volume
2024-08-01 02:00:00,0.1222,0.1235,0.1121,0.1196,31798720.0
2024-08-02 02:00:00,0.119,0.1197,0.1099,0.1118,27848181.0
2024-08-03 02:00:00,0.1119,0.1148,0.1048,0.1081,28883606.0
2024-08-04 02:00:00,0.108,0.1094,0.0992,0.1041,38489522.0
2024-08-05 02:00:00,0.1042,0.1042,0.0805,0.0946,269343781.0
2024-08-06 02:00:00,0.0941,0.1018,0.0939,0.0965,35470468.0
2024-08-07 02:00:00,0.0965,0.1026,0.0941,0.0958,27645412.0
2024-08-08 02:00:00,0.0959,0.1082,0.0937,0.1074,36169904.0
2024-08-09 02:00:00,0.1073,0.1081,0.1012,0.1032,20002149.0
2024-08-10 02:00:00,0.104,0.1064,0.1032,0.1054,8808266.0
2024-08-11 02:00:00,0.1054,0.1109,0.0997,0.101,29366673.0
2024-08-12 02:00:00,0.101,0.109,0.1,0.1075,32344643.0
2024-08-13 02:00:00,0.108,0.1095,0.1033,0.1061,22725275.0
2024-08-14 02:00:00,0.1061,0.1074,0.1015,0.1028,14252542.0
2024-08-15 02:00:00,0.1029,0.1048,0.098,0.1002,25921628.0
2024-08-16 02:00:00,0.1001,0.1026,0.0972,0.1002,28563694.0
2024-08-17 02:00:00,0.1007,0.1038,0.1001,0.1023,9819452.0
2024-08-18 02:00:00,0.1024,0.1048,0.1002,0.1002,15932508.0
2024-08-19 02:00:00,0.1,0.1019,0.0986,0.1018,6883885.0
2024-08-20 02:00:00,0.1011,0.1061,0.1011,0.1033,42013889.0
2024-08-21 02:00:00,0.1034,0.1082,0.102,0.1062,11801188.0
2024-08-22 02:00:00,0.1065,0.1075,0.1037,0.1057,10105583.0
2024-08-23 02:00:00,0.1051,0.116,0.1051,0.1127,49362790.0
2024-08-24 02:00:00,0.1129,0.1152,0.1108,0.112,27334477.0
2024-08-25 02:00:00,0.113,0.1134,0.108,0.1093,12185293.0
2024-08-26 02:00:00,0.1093,0.1102,0.1039,0.1051,25328938.0
2024-08-27 02:00:00,0.1056,0.1068,0.0967,0.0988,11545129.0
2024-08-28 02:00:00,0.0992,0.1024,0.0968,0.0994,16428214.0
2024-08-29 02:00:00,0.0998,0.1027,0.098,0.1004,11224795.0
2024-08-30 02:00:00,0.1004,0.1029,0.0973,0.1018,20618136.0
